160,512,4000,2,1,5,30
115,2000,8000,16,1,3,50
50,4000,16000,64,5,10,111
50,2000,4000,0,3,6,27
320,512,2000,4,1,3,69
105,256,2000,0,3,10,26
26,8000,32000,0,8,24,277
60,4000,16000,32,1,6,86
700,256,2000,0,1,1,24
1100,768,2000,0,1,1,13
200,1000,8000,0,1,2,36
143,1000,2000,0,5,16,31
30,8000,64000,96,12,176,915
56,4000,8000,0,1,8,34
70,4000,12000,8,6,8,75
115,2000,4000,2,1,5,40
125,2000,8000,0,2,14,52
480,1000,4000,0,0,0,45
250,512,4000,0,1,7,25
320,512,5000,4,1,5,77
400,2000,4000,0,1,1,32
225,1000,4000,2,3,6,24
900,2000,4000,0,3,6,37
26,8000,32000,64,8,32,318
320,256,3000,4,1,3,27
140,2000,32000,32,1,20,134
50,2000,16000,24,1,6,80
38,16000,32000,128,16,32,510
800,256,8000,0,1,4,12
50,2620,10480,30,12,24,32
98,1000,8000,32,2,8,46
105,2000,6000,16,6,16,33
50,2000,16000,24,6,16,65
300,768,12000,6,6,24,50
175,256,2000,0,3,24,22
110,1000,12000,16,1,2,60
700,384,8000,0,1,1,24
72,4000,16000,64,8,16,143
1100,512,1500,0,1,1,7
50,2000,16000,24,6,16,54
48,4000,24000,32,8,24,214
57,4000,16000,1,6,12,132
220,1000,8000,16,1,2,71
180,2000,8000,8,1,6,50
50,2000,16000,8,3,6,52
800,256,8000,0,1,4,14
25,1310,2620,131,12,24,368
150,512,4000,0,8,128,30
900,1000,4000,8,1,2,22
810,512,512,8,1,1,18
29,8000,32000,32,8,32,269
160,1000,8000,16,1,14,60
29,8000,32000,32,8,32,220
40,8000,16000,32,8,16,214
140,2000,4000,8,1,20,35
350,64,64,0,1,4,10
25,2000,12000,8,1,4,49
56,4000,12000,0,1,8,42
167,524,2000,8,4,15,19
200,1000,4000,0,1,4,30
56,2000,8000,0,1,8,24
50,2000,8000,8,1,6,56
56,5240,20970,30,12,24,106
320,512,8000,4,1,5,40
240,512,1000,8,1,3,6
17,4000,16000,32,6,12,133
143,2300,6200,0,6,64,61
50,2000,32000,24,6,26,114
64,5240,20970,30,12,24,208
180,262,4000,0,1,3,18
59,8000,16000,64,12,24,188
200,2000,8000,64,1,5,41
100,1000,8000,24,2,6,26
26,16000,32000,64,8,24,465
100,1000,8000,24,3,6,32
60,2000,16000,64,5,8,74
72,2000,8000,16,6,8,105
50,2000,16000,24,1,6,70
23,16000,32000,64,16,32,367
225,2000,4000,8,3,6,40
800,768,2000,0,0,0,20
30,16000,32000,256,16,24,510
300,768,4500,0,1,24,45
52,4000,16000,32,4,12,130
240,512,2000,8,1,5,11
50,2620,10480,30,12,24,63
400,512,3500,4,1,6,40
92,2000,8000,4,1,6,50
140,2000,4000,0,3,6,29
30,8000,64000,128,12,176,1150
320,128,6000,0,1,12,23
90,256,1000,0,3,10,17
26,16000,32000,64,16,24,465
900,1000,1000,0,1,2,11
50,2000,8000,8,1,5,71
160,2000,8000,32,1,13,109
330,1000,2000,0,1,2,16
50,2000,32000,48,26,52,208
38,8000,24000,160,4,8,140
75,3000,8000,8,3,48,64
38,4000,16000,128,16,32,212
59,4000,12000,32,6,12,113
160,512,2000,2,3,8,32
38,8000,32000,64,8,24,326
900,1000,4000,4,1,2,18
35,8000,32000,64,8,24,370
300,768,3000,6,6,24,44
112,1000,1000,0,1,4,8
29,8000,16000,32,8,16,132
143,512,5000,0,7,32,28
23,32000,64000,128,32,64,1144
110,1000,4000,16,1,2,26
810,1000,5000,0,1,1,20
50,2000,16000,8,3,5,40
105,2000,4000,8,3,19,32
400,4000,8000,0,1,1,32
25,1310,2620,131,12,24,274
105,2000,4000,8,3,8,22
800,256,8000,0,1,4,20
180,262,4000,0,1,3,12
125,256,6000,256,16,128,198
300,1000,4000,8,3,64,38
200,512,8000,8,1,8,62
225,2000,4000,8,3,6,34
160,1000,4000,8,1,14,38
50,4000,16000,65,1,8,138
84,1000,2000,0,1,6,12
180,768,12000,6,1,31,84
26,8000,32000,64,12,16,248
50,2000,32000,112,52,104,307
600,768,2000,0,1,1,16
50,500,2000,8,1,4,20
50,1000,8000,8,3,5,36
56,4000,16000,0,1,8,46
140,2000,32000,32,1,54,189
140,2000,32000,32,1,54,141
38,8000,16000,64,4,8,100
23,16000,64000,64,16,32,636
56,1000,4000,0,1,6,17
480,96,512,0,1,1,6
115,512,6000,16,1,6,45
116,2000,8000,32,5,28,70
75,2000,16000,64,1,38,144
38,4000,8000,32,16,32,116
50,2000,8000,8,3,6,45
1500,768,2000,0,0,0,18
320,256,5000,4,1,6,27
250,512,4000,0,4,7,50
105,1000,4000,0,3,24,32
250,1000,16000,1,1,8,50
133,1000,12000,9,3,12,72
92,2000,8000,32,1,6,60
92,2000,8000,32,1,6,62
330,1000,4000,0,3,6,22
400,1000,3000,0,1,2,38
38,4000,8000,32,16,32,51
140,1000,16000,16,1,3,138
29,8000,32000,32,8,32,172
50,4000,32000,112,52,104,397
185,2000,16000,16,1,6,76
300,192,768,6,6,24,36
40,8000,32000,64,8,24,277
140,2000,4000,8,1,20,22
330,1000,3000,0,2,4,16
50,2000,16000,12,3,16,45
105,2000,8000,16,4,14,58
50,1000,4000,8,3,5,26
125,512,1000,0,8,20,36
143,1500,6300,0,5,32,30
57,4000,24000,64,12,16,237
1500,768,1000,0,0,0,12
75,2000,8000,64,1,38,144
26,8000,16000,0,8,16,185
180,512,4000,0,1,3,14
25,2000,12000,16,3,5,66
203,1000,2000,0,1,5,24
26,8000,32000,128,24,32,405
133,1000,8000,9,3,12,72
180,512,4000,0,1,3,21
75,2000,8000,8,3,24,62
200,512,16000,0,4,32,35
56,2000,6000,0,1,8,21
50,2000,16000,8,3,6,60
480,512,8000,32,0,0,67
300,384,12000,6,1,24,53
300,768,3000,0,6,24,36
60,4000,16000,64,5,8,93
300,1000,16000,8,2,112,38
800,256,8000,0,1,4,16
140,2000,4000,0,4,8,40
50,1000,4000,8,1,5,29
100,1000,8000,0,2,6,16
140,2000,8000,32,1,54,66
75,2000,16000,128,1,38,259
124,1000,8000,0,1,8,42
143,3100,6200,0,5,20,33
110,3100,6200,0,6,64,76
17,4000,16000,8,6,12,100
26,8000,24000,32,8,16,173
110,5000,5000,142,8,64,120
75,4000,16000,16,1,6,66
50,8000,16000,48,1,10,136
60,2000,8000,65,1,8,92
320,256,6000,0,1,6,33
900,512,1000,0,1,2,11
200,1000,2000,0,1,2,25
180,2000,16000,16,1,6,66
23,16000,32000,64,16,32,489
800,256,8000,0,1,4,22
